product_id,product_name,description,price,stock,brand_name,image_url,image_alt,categories,tags,variants
11,Bicicleta Modelo 11,Bicicleta de alta qualidade - modelo 11,350.00,10,Bradox,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/19-1-300x225.png,Imagem do produto 11,Aro 24 (de 10 até 15 anos),null,null
12,Bicicleta Modelo 12,Bicicleta de alta qualidade - modelo 12,360.00,11,Oggi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/2-3-300x225.png,Imagem do produto 12,Aro 26,null,null
13,Bicicleta Modelo 13,Bicicleta de alta qualidade - modelo 13,370.00,12,Monark,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/20-1-300x225.png,Imagem do produto 13,Aro 29,null,null
14,Bicicleta Modelo 14,Bicicleta de alta qualidade - modelo 14,380.00,13,Absolute,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/21-1-300x225.png,Imagem do produto 14,Aro 700,null,null
15,Bicicleta Modelo 15,Bicicleta de alta qualidade - modelo 15,390.00,14,DNZ,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/22-1-300x225.png,Imagem do produto 15,Aro 12 (até 3 anos),null,null
16,Bicicleta Modelo 16,Bicicleta de alta qualidade - modelo 16,400.00,10,GTI,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/23-1-300x225.png,Imagem do produto 16,Aro 16 (de 3 até 6 anos),null,null
17,Bicicleta Modelo 17,Bicicleta de alta qualidade - modelo 17,410.00,11,Viking,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/24-1-300x225.png,Imagem do produto 17,Aro 20 (de 6 até 10 anos),null,null
18,Bicicleta Modelo 18,Bicicleta de alta qualidade - modelo 18,420.00,12,Samy,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/25-1-300x225.png,Imagem do produto 18,Aro 24 (de 10 até 15 anos),null,null
19,Bicicleta Modelo 19,Bicicleta de alta qualidade - modelo 19,430.00,13,Caloi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/26-1-300x225.png,Imagem do produto 19,Aro 26,null,null
20,Bicicleta Modelo 20,Bicicleta de alta qualidade - modelo 20,440.00,14,Bradox,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/27-1-300x225.png,Imagem do produto 20,Aro 29,null,null
21,Bicicleta Modelo 21,Bicicleta de alta qualidade - modelo 21,450.00,10,Oggi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/28-1-300x225.png,Imagem do produto 21,Aro 700,null,null
22,Bicicleta Modelo 22,Bicicleta de alta qualidade - modelo 22,460.00,11,Monark,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/29-1-300x225.png,Imagem do produto 22,Aro 12 (até 3 anos),null,null
23,Bicicleta Modelo 23,Bicicleta de alta qualidade - modelo 23,470.00,12,Absolute,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/3-4-300x225.png,Imagem do produto 23,Aro 16 (de 3 até 6 anos),null,null
24,Bicicleta Modelo 24,Bicicleta de alta qualidade - modelo 24,480.00,13,DNZ,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/30-1-300x225.png,Imagem do produto 24,Aro 20 (de 6 até 10 anos),null,null
25,Bicicleta Modelo 25,Bicicleta de alta qualidade - modelo 25,490.00,14,GTI,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/31-1-300x225.png,Imagem do produto 25,Aro 24 (de 10 até 15 anos),null,null
26,Bicicleta Modelo 26,Bicicleta de alta qualidade - modelo 26,500.00,10,Viking,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/32-1-300x225.png,Imagem do produto 26,Aro 26,null,null
27,Bicicleta Modelo 27,Bicicleta de alta qualidade - modelo 27,510.00,11,Samy,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/33-1-300x225.png,Imagem do produto 27,Aro 29,null,null
28,Bicicleta Modelo 28,Bicicleta de alta qualidade - modelo 28,520.00,12,Caloi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/34-1-300x225.png,Imagem do produto 28,Aro 700,null,null
29,Bicicleta Modelo 29,Bicicleta de alta qualidade - modelo 29,530.00,13,Bradox,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/35-1-300x225.png,Imagem do produto 29,Aro 12 (até 3 anos),null,null
30,Bicicleta Modelo 30,Bicicleta de alta qualidade - modelo 30,540.00,14,Oggi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/36-1-300x225.png,Imagem do produto 30,Aro 16 (de 3 até 6 anos),null,null
31,Bicicleta Modelo 31,Bicicleta de alta qualidade - modelo 31,550.00,10,Monark,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/37-1-300x225.png,Imagem do produto 31,Aro 20 (de 6 até 10 anos),null,null
32,Bicicleta Modelo 32,Bicicleta de alta qualidade - modelo 32,560.00,11,Absolute,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/38-1-300x225.png,Imagem do produto 32,Aro 24 (de 10 até 15 anos),null,null
33,Bicicleta Modelo 33,Bicicleta de alta qualidade - modelo 33,570.00,12,DNZ,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/39-1-300x225.png,Imagem do produto 33,Aro 26,null,null
34,Bicicleta Modelo 34,Bicicleta de alta qualidade - modelo 34,580.00,13,GTI,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/4-1-300x225.png,Imagem do produto 34,Aro 29,null,null
35,Bicicleta Modelo 35,Bicicleta de alta qualidade - modelo 35,590.00,14,Viking,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/40-1-300x225.png,Imagem do produto 35,Aro 700,null,null
36,Bicicleta Modelo 36,Bicicleta de alta qualidade - modelo 36,600.00,10,Samy,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/41-1-300x225.png,Imagem do produto 36,Aro 12 (até 3 anos),null,null
37,Bicicleta Modelo 37,Bicicleta de alta qualidade - modelo 37,610.00,11,Caloi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/42-1-300x225.png,Imagem do produto 37,Aro 16 (de 3 até 6 anos),null,null
38,Bicicleta Modelo 38,Bicicleta de alta qualidade - modelo 38,620.00,12,Bradox,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/43-1-300x225.png,Imagem do produto 38,Aro 20 (de 6 até 10 anos),null,null
39,Bicicleta Modelo 39,Bicicleta de alta qualidade - modelo 39,630.00,13,Oggi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/44-1-300x225.png,Imagem do produto 39,Aro 24 (de 10 até 15 anos),null,null
40,Bicicleta Modelo 40,Bicicleta de alta qualidade - modelo 40,640.00,14,Monark,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/48-1-300x225.png,Imagem do produto 40,Aro 26,null,null
41,Bicicleta Modelo 41,Bicicleta de alta qualidade - modelo 41,650.00,10,Absolute,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/49-1-300x225.png,Imagem do produto 41,Aro 29,null,null
42,Bicicleta Modelo 42,Bicicleta de alta qualidade - modelo 42,660.00,11,DNZ,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/5-2-300x225.png,Imagem do produto 42,Aro 700,null,null
43,Bicicleta Modelo 43,Bicicleta de alta qualidade - modelo 43,670.00,12,GTI,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/50-1-300x225.png,Imagem do produto 43,Aro 12 (até 3 anos),null,null
44,Bicicleta Modelo 44,Bicicleta de alta qualidade - modelo 44,680.00,13,Viking,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/51-1-300x225.png,Imagem do produto 44,Aro 16 (de 3 até 6 anos),null,null
45,Bicicleta Modelo 45,Bicicleta de alta qualidade - modelo 45,690.00,14,Samy,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/52-1-300x225.png,Imagem do produto 45,Aro 20 (de 6 até 10 anos),null,null
46,Bicicleta Modelo 46,Bicicleta de alta qualidade - modelo 46,700.00,10,Caloi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/53-1-300x225.png,Imagem do produto 46,Aro 24 (de 10 até 15 anos),null,null
47,Bicicleta Modelo 47,Bicicleta de alta qualidade - modelo 47,710.00,11,Bradox,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/54-1-300x225.png,Imagem do produto 47,Aro 26,null,null
48,Bicicleta Modelo 48,Bicicleta de alta qualidade - modelo 48,720.00,12,Oggi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/55-1-300x225.png,Imagem do produto 48,Aro 29,null,null
49,Bicicleta Modelo 49,Bicicleta de alta qualidade - modelo 49,730.00,13,Monark,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/56-1-300x225.png,Imagem do produto 49,Aro 700,null,null
50,Bicicleta Modelo 50,Bicicleta de alta qualidade - modelo 50,740.00,14,Absolute,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/57-1-300x225.png,Imagem do produto 50,Aro 12 (até 3 anos),null,null
51,Bicicleta Modelo 51,Bicicleta de alta qualidade - modelo 51,750.00,10,DNZ,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/58-1-300x225.png,Imagem do produto 51,Aro 16 (de 3 até 6 anos),null,null
52,Bicicleta Modelo 52,Bicicleta de alta qualidade - modelo 52,760.00,11,GTI,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/59-1-300x225.png,Imagem do produto 52,Aro 20 (de 6 até 10 anos),null,null
53,Bicicleta Modelo 53,Bicicleta de alta qualidade - modelo 53,770.00,12,Viking,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/6-1-300x225.png,Imagem do produto 53,Aro 24 (de 10 até 15 anos),null,null
54,Bicicleta Modelo 54,Bicicleta de alta qualidade - modelo 54,780.00,13,Samy,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/60-1-300x225.png,Imagem do produto 54,Aro 26,null,null
55,Bicicleta Modelo 55,Bicicleta de alta qualidade - modelo 55,790.00,14,Caloi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/61-1-300x225.png,Imagem do produto 55,Aro 29,null,null
56,Bicicleta Modelo 56,Bicicleta de alta qualidade - modelo 56,800.00,10,Bradox,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/62-1-300x225.png,Imagem do produto 56,Aro 700,null,null
57,Bicicleta Modelo 57,Bicicleta de alta qualidade - modelo 57,810.00,11,Oggi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/63-1-300x225.png,Imagem do produto 57,Aro 12 (até 3 anos),null,null
58,Bicicleta Modelo 58,Bicicleta de alta qualidade - modelo 58,820.00,12,Monark,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/64-1-300x225.png,Imagem do produto 58,Aro 16 (de 3 até 6 anos),null,null
59,Bicicleta Modelo 59,Bicicleta de alta qualidade - modelo 59,830.00,13,Absolute,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/65-1-300x225.png,Imagem do produto 59,Aro 20 (de 6 até 10 anos),null,null
60,Bicicleta Modelo 60,Bicicleta de alta qualidade - modelo 60,840.00,14,DNZ,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/66-1-300x225.png,Imagem do produto 60,Aro 24 (de 10 até 15 anos),null,null
61,Bicicleta Modelo 61,Bicicleta de alta qualidade - modelo 61,850.00,10,GTI,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/67-1-300x225.png,Imagem do produto 61,Aro 26,null,null
62,Bicicleta Modelo 62,Bicicleta de alta qualidade - modelo 62,860.00,11,Viking,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/68-1-300x225.png,Imagem do produto 62,Aro 29,null,null
63,Bicicleta Modelo 63,Bicicleta de alta qualidade - modelo 63,870.00,12,Samy,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/69-1-300x225.png,Imagem do produto 63,Aro 700,null,null
64,Bicicleta Modelo 64,Bicicleta de alta qualidade - modelo 64,880.00,13,Caloi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/7-1-300x225.png,Imagem do produto 64,Aro 12 (até 3 anos),null,null
65,Bicicleta Modelo 65,Bicicleta de alta qualidade - modelo 65,890.00,14,Bradox,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/70-1-300x225.png,Imagem do produto 65,Aro 16 (de 3 até 6 anos),null,null
66,Bicicleta Modelo 66,Bicicleta de alta qualidade - modelo 66,900.00,10,Oggi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/71-1-300x225.png,Imagem do produto 66,Aro 20 (de 6 até 10 anos),null,null
67,Bicicleta Modelo 67,Bicicleta de alta qualidade - modelo 67,910.00,11,Monark,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/72-1-300x225.png,Imagem do produto 67,Aro 24 (de 10 até 15 anos),null,null
68,Bicicleta Modelo 68,Bicicleta de alta qualidade - modelo 68,920.00,12,Absolute,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/73-1-300x225.png,Imagem do produto 68,Aro 26,null,null
69,Bicicleta Modelo 69,Bicicleta de alta qualidade - modelo 69,930.00,13,DNZ,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/74-1-300x225.png,Imagem do produto 69,Aro 29,null,null
70,Bicicleta Modelo 70,Bicicleta de alta qualidade - modelo 70,940.00,14,GTI,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/75-1-300x225.png,Imagem do produto 70,Aro 700,null,null
71,Bicicleta Modelo 71,Bicicleta de alta qualidade - modelo 71,950.00,10,Viking,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/76-1-300x225.png,Imagem do produto 71,Aro 12 (até 3 anos),null,null
72,Bicicleta Modelo 72,Bicicleta de alta qualidade - modelo 72,960.00,11,Samy,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/77-1-300x225.png,Imagem do produto 72,Aro 16 (de 3 até 6 anos),null,null
73,Bicicleta Modelo 73,Bicicleta de alta qualidade - modelo 73,970.00,12,Caloi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/78-2-300x225.png,Imagem do produto 73,Aro 20 (de 6 até 10 anos),null,null
74,Bicicleta Modelo 74,Bicicleta de alta qualidade - modelo 74,980.00,13,Bradox,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/79-1-300x225.png,Imagem do produto 74,Aro 24 (de 10 até 15 anos),null,null
75,Bicicleta Modelo 75,Bicicleta de alta qualidade - modelo 75,990.00,14,Oggi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/80-1-300x225.png,Imagem do produto 75,Aro 26,null,null
76,Bicicleta Modelo 76,Bicicleta de alta qualidade - modelo 76,1000.00,10,Monark,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/81-1-300x225.png,Imagem do produto 76,Aro 29,null,null
77,Bicicleta Modelo 77,Bicicleta de alta qualidade - modelo 77,1010.00,11,Absolute,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/82-2-300x225.png,Imagem do produto 77,Aro 700,null,null
78,Bicicleta Modelo 78,Bicicleta de alta qualidade - modelo 78,1020.00,12,DNZ,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/83-1-300x225.png,Imagem do produto 78,Aro 12 (até 3 anos),null,null
79,Bicicleta Modelo 79,Bicicleta de alta qualidade - modelo 79,1030.00,13,GTI,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/84-1-300x225.png,Imagem do produto 79,Aro 16 (de 3 até 6 anos),null,null
80,Bicicleta Modelo 80,Bicicleta de alta qualidade - modelo 80,1040.00,14,Viking,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/85-300x225.png,Imagem do produto 80,Aro 20 (de 6 até 10 anos),null,null
81,Bicicleta Modelo 81,Bicicleta de alta qualidade - modelo 81,1050.00,10,Samy,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/9-1-300x225.png,Imagem do produto 81,Aro 24 (de 10 até 15 anos),null,null
82,Bicicleta Modelo 82,Bicicleta de alta qualidade - modelo 82,1060.00,11,Caloi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/Tulio-Bicicletas-1-qn3k3yrhzqupzgdk2hoij90qaffduku0yn2pmkcdlc.jpg,Imagem do produto 82,Aro 26,null,null
83,Bicicleta Modelo 83,Bicicleta de alta qualidade - modelo 83,1070.00,12,Bradox,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/tulio-todas-bikes-6-300x225.png,Imagem do produto 83,Aro 29,null,null
